#<qhat> <qhatL^2> <qhatL^3> <L> <T> <T^2> <ehat>
0.01338 0.942314 7.16309 12.5842 0.237039 0.0608553 0.0453188
0.00330806 0.91167 13.6196 25.5958 0.247194 0.0672818 0.0104496
0.0145816 1.48663 11.3007 15.3493 0.245376 0.0657531 0.0470082
0.00972631 1.94139 25.493 22.0443 0.237329 0.0617768 0.0318832
0.00579925 2.36759 17.9975 29.8218 0.243779 0.0649687 0.0191662
0.0066556 0.48445 3.87105 12.5683 0.235549 0.0598351 0.0230243
0.00793939 0.298118 2.26617 8.24049 0.215059 0.0484303 0.0323239
0.0109559 4.26903 78.4074 29.1928 0.229255 0.0566191 0.0389464
0.0145678 2.40694 18.2966 20.2091 0.243408 0.0653287 0.0460999
0.0150267 1.97771 20.2735 17.7535 0.249608 0.0685859 0.0468187
0.000777671 0.0250394 0.19034 7.68731 0.216083 0.0489016 0.00314855
0.0135421 4.91309 82.4288 28.1841 0.244097 0.0647032 0.0447566
0.0101308 0.528326 4.01612 10.2928 0.224673 0.0537105 0.0378006
0.011277 2.80224 40.2365 23.9529 0.236991 0.0611061 0.0378389
0.00763853 3.12901 23.7855 29.5382 0.244135 0.0650571 0.025394
0.00135443 0.120535 1.06539 14.0124 0.236205 0.0603141 0.00464941
0.00331973 1.62153 12.3262 31.3398 0.24061 0.0624193 0.0114797
0.00923002 0.440477 2.94734 9.41078 0.214127 0.0481632 0.0374005
0.000377218 0.00656669 0.0499174 4.69342 0.174785 0.0308471 0.00209964
0.00395153 1.0574 16.7447 19.7827 0.187258 0.0356519 0.0199423
0.00943765 0.547161 4.1593 10.6219 0.223066 0.0526916 0.0360294
0.00372571 2.01772 44.4371 33.0457 0.232998 0.0584252 0.0133473
0.00181981 0.114175 0.867912 11.6282 0.22976 0.0566128 0.00650823
0.00933694 2.69293 40.3835 25.6452 0.249345 0.0681799 0.0296345
0.00210445 0.269911 2.05175 15.5832 0.202772 0.0430861 0.00900184
0.00120264 0.236119 3.11197 19.7664 0.224762 0.0535882 0.00453776
0.00858473 0.378064 2.87389 9.37671 0.222458 0.0525 0.032585
0.012127 3.54764 53.0731 25.6674 0.247868 0.0670613 0.0389815
0.00223956 0.23832 1.81161 15.9588 0.237726 0.0616633 0.00740555
0.00443063 0.717012 8.08057 19.6949 0.251195 0.0694756 0.0137273
0.00323447 0.204765 1.55654 10.877 0.217194 0.0495737 0.012922
0.000878739 0.257437 4.34424 24.8693 0.213795 0.0485853 0.00342696
0.00180841 0.391725 2.97774 19.7162 0.196583 0.0401462 0.0081523
0.00208432 0.212722 2.09449 13.3237 0.207741 0.0448609 0.00895204
0.0112143 1.48571 11.2938 18.0488 0.25147 0.0698326 0.0343346
0.00841951 0.996315 9.76732 17.0116 0.247095 0.0671571 0.0263879
0.000779807 0.0606107 0.460738 12.5524 0.222951 0.0528416 0.00294577
0.00386282 1.783 35.37 30.5509 0.239151 0.0617505 0.0134206
0.0177453 4.28433 32.5677 23.9267 0.251639 0.0697479 0.0549462
0.00240104 0.134683 0.942468 11.1001 0.234734 0.0593008 0.00833189
0.00586157 1.69314 12.8706 26.2147 0.243419 0.0651288 0.0188296
0.00551465 0.3696 2.80968 12.1862 0.236932 0.0606362 0.0188351
0.00908823 1.7293 13.1454 21.1694 0.231534 0.058356 0.0310312
0.00940617 1.40937 15.5463 18.5118 0.24683 0.0666162 0.0302245
