#<qhat> <qhatL^2> <qhatL^3> <L> <T> <T^2> <ehat>
0.0107683 0.536979 4.0819 9.94878 0.224858 0.0536535 0.0404788
0.00283307 0.653056 9.07554 22.6634 0.238378 0.0616474 0.00957627
0.00450978 1.40526 10.6822 25.3437 0.238028 0.0613696 0.0156245
0.00121361 0.0979172 0.834458 12.9278 0.231515 0.0574074 0.00435913
0.00493722 1.7784 13.5187 27.0029 0.23391 0.0589287 0.0175761
0.00538329 0.295479 2.09755 10.3202 0.223288 0.0527986 0.020562
0.00603312 0.141952 1.07906 6.00137 0.198312 0.0404171 0.0281045
0.00904068 3.04163 52.6382 25.9181 0.218783 0.050708 0.0350298
0.0120432 1.55037 11.7853 17.1264 0.233139 0.0589108 0.0413472
0.0128241 1.29934 11.9492 15.0259 0.240618 0.0627845 0.0428666
0.000564785 0.0105641 0.0803036 5.35533 0.196458 0.0396022 0.0026663
0.0113052 3.6713 58.9096 25.473 0.233235 0.0580058 0.0407099
0.00789655 0.260349 1.97907 7.55978 0.210538 0.0461608 0.033327
0.00944946 1.91061 25.1234 20.7228 0.227281 0.0552944 0.0343265
0.0138774 3.74584 28.4744 23.8499 0.239753 0.0620348 0.0474617
0.000646589 0.0242717 0.144169 8.29674 0.213205 0.0476008 0.00265456
0.00276704 1.24293 9.44823 28.6828 0.228982 0.0555624 0.0104535
0.00696088 0.204751 1.08753 6.74894 0.197543 0.0401339 0.032459
0.000298545 0.000947466 0.00720225 1.87051 0.159594 0.0255396 0.00185755
0.00328597 0.528186 6.51335 14.2919 0.175062 0.0308801 0.018285
0.00169669 0.0573979 0.436315 7.89776 0.21529 0.0485974 0.00687541
0.011531 2.68227 36.5838 22.5153 0.239658 0.062103 0.0390399
0.00256847 0.111875 0.850428 8.41275 0.203688 0.0428559 0.0114773
0.000697312 0.158125 2.35864 20.5837 0.202015 0.0426189 0.00301817
0.00147616 0.164866 1.25324 12.9431 0.184942 0.0349291 0.00747194
0.00165059 0.121668 1.0212 10.4588 0.193872 0.0384134 0.00797762
0.00948404 0.959288 7.29212 15.1858 0.242166 0.0637281 0.031256
0.00705524 0.609109 5.23487 13.9565 0.237331 0.0609676 0.0238929
0.00580218 0.877845 6.67302 18.3741 0.238563 0.0618625 0.019549
0.0146803 2.14082 23.9194 18.0435 0.240317 0.0628714 0.0489663
0.00153593 1.28433 9.76298 35.9221 0.202724 0.0422233 0.00701187
0.00186509 0.00994204 0.0226025 2.48976 0.16919 0.0287962 0.0108451
0.0049851 1.20221 9.13871 23.1581 0.234377 0.0594779 0.017179
0.00444432 0.212152 1.39403 9.70601 0.224642 0.0534814 0.016792
0.00719285 1.08796 8.27026 17.9754 0.219014 0.0512765 0.0271016
0.00788547 0.97008 9.91057 16.0994 0.236412 0.0601421 0.0274497
0.000484738 0.00116756 0.00887529 1.62721 0.1598 0.0256103 0.00301066
0.00311707 2.2511 55.8727 31.257 0.197537 0.0395828 0.0150654
0.00835537 0.604477 4.59499 12.6689 0.237152 0.0607101 0.0285022
0.00567031 0.589759 5.45771 15.4505 0.24181 0.0635654 0.0186872
0.0148356 2.73247 20.7712 19.8911 0.240564 0.0628845 0.0500523
0.00113849 0.176956 2.07373 18.4033 0.237141 0.0609409 0.00389916
0.000606293 0.0335391 0.25495 9.16819 0.190293 0.0370925 0.00296652
0.0101775 4.7477 96.9756 27.6103 0.213241 0.0471884 0.0432088
0.00972154 0.89713 6.81962 13.9428 0.234078 0.058985 0.034158
0.00621058 1.79931 28.6051 24.6075 0.239102 0.062071 0.0212927
0.000621114 0.0398286 0.302761 10.2562 0.196187 0.0397099 0.0028824
0.00454779 0.648591 7.35471 16.0169 0.215556 0.0485697 0.0185732
0.0131293 2.11255 16.0588 19.0953 0.231952 0.0582392 0.0454333
0.00185787 0.110309 0.79787 11.133 0.231193 0.0571156 0.00667973
0.00289816 0.618565 4.70208 21.6401 0.240595 0.0630401 0.00971915
0.00157378 0.174033 1.71735 15.5628 0.236286 0.0603802 0.00540947
0.00414139 0.708658 5.38693 19.138 0.238069 0.0614026 0.01419
0.00127066 0.231606 2.93671 19.7827 0.236835 0.0607403 0.00437791
0.00108272 0.0443357 0.337022 8.97265 0.223056 0.0526224 0.00413733
0.0041663 0.740439 8.76146 20.0363 0.244862 0.0651981 0.0136102
0.00990254 2.29925 17.478 22.2062 0.239813 0.0624819 0.0336582
0.00352076 0.43921 4.589 16.3955 0.237404 0.0609706 0.0120887
0.00247386 1.02922 7.82369 27.7823 0.228803 0.0556261 0.00931411
0.00556224 0.316546 2.3379 9.98284 0.208488 0.0453122 0.0236622
0.0108517 5.4113 41.1345 29.7679 0.226487 0.0541512 0.0418736
0.00436271 0.125033 0.658431 6.59229 0.194535 0.0388182 0.0208136
0.0053652 0.481389 3.65933 13.7539 0.233666 0.0587486 0.0189034
0.0144536 4.27011 68.539 24.8198 0.239106 0.0620864 0.049544
0.00697382 0.888344 6.75283 17.0486 0.238493 0.0618739 0.0233339
0.00600105 0.738785 7.57358 16.7527 0.239564 0.0624337 0.0199955
0.00235033 0.242572 1.84394 15.3801 0.236363 0.060564 0.00795728
0.00164392 0.160788 1.45239 14.9262 0.241613 0.0634047 0.00544365
0.00721886 1.20079 9.12788 18.1044 0.21051 0.0467971 0.0292127
0.00305355 0.467455 5.39758 17.5508 0.230516 0.0567181 0.0111283
0.00231474 0.0462987 0.351944 5.33558 0.19076 0.0371196 0.011461
0.012864 7.49991 168.484 31.905 0.222585 0.0521382 0.0508844
0.00525891 0.959768 7.29577 19.9172 0.23942 0.0622879 0.0177937
0.0134361 2.06773 23.7173 18.3792 0.241346 0.0634346 0.0448291
0.00264334 1.45635 11.0705 31.5346 0.214161 0.0481052 0.010837
0.000547152 0.0103866 0.0445598 5.21166 0.191101 0.0372446 0.00270581
0.00222453 0.619642 4.71027 24.1318 0.217643 0.0504779 0.00852013
0.00105031 0.0535 0.367531 9.77718 0.219348 0.050621 0.00414909
0.00665001 1.94525 14.787 24.5486 0.221047 0.0521695 0.0251135
0.0107872 0.799676 6.51455 12.1241 0.227305 0.054957 0.040065
0.00355621 0.0325294 0.247275 3.416 0.179861 0.0327282 0.0191188
0.00757531 3.42929 64.2412 28.5047 0.227943 0.054579 0.0289789
0.00332035 1.33476 10.1463 28.0216 0.229044 0.0557864 0.0123002
0.00325057 0.06409 0.278116 5.44206 0.196899 0.039749 0.015355
0.00614901 2.5648 19.4965 28.3543 0.217499 0.0500828 0.0242053
0.00896179 0.403048 2.61757 8.8689 0.212553 0.0471631 0.0373154
0.00295778 0.165213 1.25588 10.2712 0.218721 0.0504447 0.0116656
0.00200343 0.852306 16.6927 28.5935 0.229219 0.0562005 0.00742757
0.0158126 2.99737 22.7848 20.1633 0.240266 0.0627111 0.0534481
0.0129586 2.01508 23.6256 18.2591 0.235435 0.0599394 0.0448977
0.00319086 0.142163 1.08066 8.79508 0.206007 0.044144 0.0137985
0.00157326 0.332089 4.37753 20.6534 0.234111 0.0585583 0.00562998
0.00493234 1.97759 15.0328 27.7775 0.230439 0.0563822 0.018233
0.000542129 0.0095677 0.0394653 5.11761 0.193662 0.0383597 0.0026207
0.00585136 0.32672 2.4836 10.5728 0.224875 0.0537277 0.0219496
0.0114123 3.09871 47.1622 24.2669 0.23776 0.0613422 0.0389303
0.00750443 0.523608 3.98026 11.522 0.221198 0.0516163 0.0291764
0.00896501 1.56056 20.295 18.7443 0.210067 0.0466906 0.0360778
0.00710652 0.524641 3.98811 11.8624 0.2193 0.0507659 0.027843
0.00695532 2.52773 45.1528 26.5455 0.231833 0.0575564 0.0253818
0.000825704 0.0408354 0.310414 9.72891 0.22019 0.0510779 0.00323054
0.0108302 1.78066 21.6884 18.7777 0.221715 0.0525887 0.0402443
0.00492668 2.23436 16.9847 29.2694 0.229563 0.0562956 0.0183314
0.00798658 0.387388 2.61333 9.32384 0.215224 0.0485394 0.0325523
0.000506651 0.0161209 0.122545 6.36014 0.175088 0.0309471 0.00281438
0.000875415 0.144088 1.84534 14.8979 0.172968 0.0302561 0.00487501
0.0107147 0.5263 4.00072 10.0118 0.228701 0.0557249 0.0391762
0.0102395 1.67735 19.2676 19.3968 0.243307 0.0645231 0.0334328
0.00476823 0.543976 4.13509 15.578 0.229753 0.0567119 0.0170772
0.0145501 3.31081 46.0144 21.9748 0.240478 0.0627799 0.0493196
0.00114623 0.17116 1.30109 16.226 0.210996 0.0464255 0.00481995
0.00511477 1.46319 24.8448 22.2565 0.200704 0.0417999 0.0227796
0.00113879 0.0353888 0.269012 7.08118 0.203846 0.0429234 0.00509427
0.00109495 0.602634 13.4419 31.5641 0.224205 0.0532786 0.00424712
0.0036046 0.313365 2.38207 13.288 0.224858 0.0538565 0.0134564
0.0114751 3.32835 52.4039 24.3376 0.237625 0.0609722 0.0399776
0.00151668 0.149424 1.13586 14.024 0.226737 0.0546129 0.00565741
0.00360586 0.493932 5.73773 16.5199 0.210027 0.0465736 0.0145992
0.00132687 0.373854 2.84189 20.0223 0.190169 0.0366962 0.00663544
0.000321606 0.00131136 0.00262624 2.16079 0.164797 0.0272766 0.00192893
0.0102988 0.89897 6.83361 13.3559 0.228255 0.0556751 0.0376526
0.00474046 1.43245 23.2431 24.9074 0.237592 0.061053 0.0164901
0.00809951 0.803239 6.1059 14.4821 0.235905 0.0599004 0.0282199
0.00857522 1.927 27.919 21.9424 0.226352 0.0550803 0.0310952
0.0124114 1.48471 11.2862 16.5282 0.242507 0.0640487 0.0407443
0.00296526 0.308885 2.93853 15.4655 0.23546 0.0601754 0.0100598
0.00101965 0.305474 2.32209 23.3824 0.216581 0.0490505 0.0041295
0.00134086 0.0184029 0.0670407 4.29757 0.183494 0.0341585 0.00700549
0.00942808 1.32569 10.0774 16.9072 0.231815 0.0574282 0.0339937
0.00442052 0.46253 4.68489 14.2808 0.209133 0.0460595 0.0181104
0.013837 2.77343 21.0825 21.166 0.24221 0.0637983 0.0458048
0.010707 0.549306 3.73021 10.1511 0.224517 0.0535514 0.0401487
0.00467211 2.11907 16.1083 27.7737 0.217098 0.0492273 0.0192128
0.00256582 0.1632 1.29072 10.0964 0.195796 0.0395021 0.011992
0.00394101 0.777415 5.90959 20.7993 0.236556 0.0603766 0.01354
0.00099555 0.0339364 0.190956 7.92183 0.214238 0.0480938 0.00405983
0.00883867 0.595967 4.5303 12.0743 0.235329 0.0595749 0.0306865
0.0139949 1.66469 16.5879 16.5745 0.237429 0.0612952 0.0468418
0.00105639 0.0251429 0.191126 5.92032 0.191664 0.0375415 0.00516993
0.00343789 1.0361 16.2609 23.6754 0.227264 0.054474 0.0130768
0.00236197 0.860193 6.53884 26.9986 0.216869 0.0498942 0.00922234
0.00214631 0.0846869 0.517482 8.27683 0.21164 0.0466643 0.00902496
0.00878866 1.57582 11.9787 19.4124 0.238654 0.0614828 0.0302433
0.0107851 1.44729 16.3113 16.7162 0.220811 0.0520252 0.0406268
0.00788112 0.387569 2.94614 9.76744 0.21958 0.0509552 0.0306457
0.00428775 1.03099 14.4493 22.8465 0.240938 0.0629334 0.014438
0.00265056 1.14389 8.6954 28.5653 0.22785 0.0553463 0.00995393
0.00116482 0.0655838 0.478235 10.1801 0.2167 0.0493162 0.00468736
0.0127845 1.43829 10.9333 15.8722 0.233973 0.0592846 0.0439637
0.00115672 0.170715 1.90449 18.3331 0.242411 0.0640565 0.00380711
0.00350851 0.308541 2.3454 13.4615 0.23054 0.0567655 0.0126942
0.00418296 0.559745 6.31842 16.7543 0.217342 0.0503142 0.0160217
0.010907 0.796215 6.0525 12.2709 0.227801 0.0553629 0.0399012
0.00123676 0.122863 1.16378 14.6042 0.225659 0.0544872 0.00452012
0.00438005 1.82046 13.8384 28.1774 0.231772 0.057321 0.0160871
0.000632614 0.0222293 0.129358 7.70173 0.204654 0.0434232 0.00278332
0.00122882 0.0351113 0.266902 6.88512 0.205131 0.0435556 0.00541924
0.0102515 3.96959 71.5843 27.6513 0.231796 0.0574263 0.03725
0.000900001 0.0340444 0.258792 8.2856 0.213707 0.0477657 0.00369888
0.00145493 0.239818 2.85298 18.7374 0.229254 0.0562656 0.00524163
0.0040914 0.120178 0.913548 7.01411 0.206032 0.0440002 0.0178777
0.0149206 3.87215 55.4363 23.0663 0.238554 0.0610539 0.0518819
0.00172645 0.232806 1.7697 17.576 0.235239 0.0600918 0.00586699
0.00938302 1.08667 10.7124 16.1756 0.241392 0.0634021 0.0310736
0.00263864 0.269055 2.04525 13.9304 0.215569 0.0489578 0.010554
0.00614304 1.97514 33.4359 24.8004 0.22795 0.0553233 0.0229945
0.00545892 1.13694 8.64259 19.9255 0.226655 0.0543599 0.0206598
