#<qhat> <qhatL^2> <qhatL^3> <L> <T> <T^2> <ehat>
0.0195018 7.73236 58.7783 32.17 0.256469 0.0739917 0.0566785
0.00176697 0.614004 9.98529 30.0962 0.261585 0.0771849 0.00502735
0.0167135 7.83716 59.5749 34.8519 0.26247 0.077723 0.0474252
0.0026981 0.581777 7.55919 24.1871 0.256543 0.0741047 0.0077505
0.00668548 4.12824 31.3812 39.7003 0.244697 0.0667052 0.0207109
0.0142567 2.07181 22.7454 19.4973 0.24402 0.0661633 0.0439581
0.0023753 0.0413221 0.314114 5.07043 0.192562 0.0379109 0.0115438
0.016093 29.4579 1118.86 57.1153 0.23728 0.0595357 0.0589424
0.0223892 4.58177 34.8288 23.4285 0.265978 0.0800483 0.0617907
0.00450541 2.38364 48.0482 36.7855 0.265874 0.079739 0.0126817
0.00763642 4.31137 32.7733 37.3614 0.2645 0.0786685 0.0218798
0.0217689 4.84599 61.6882 24.3572 0.267092 0.0808499 0.0598446
0.00504914 0.985978 7.495 23.0264 0.260964 0.0769677 0.0141909
0.0140056 8.0022 172.888 38.1951 0.255888 0.0735187 0.0411704
0.00214704 0.394867 3.00162 22.2268 0.259377 0.0756386 0.0061252
0.020542 11.0497 223.139 36.8792 0.264416 0.0786742 0.0583811
0.00792712 5.20418 39.5601 39.3644 0.252388 0.0706549 0.0244233
0.0112978 2.14576 27.0906 22.1622 0.244139 0.0660822 0.0350353
0.0146308 5.84987 44.4683 32.2355 0.257294 0.0745034 0.0424103
0.00970944 2.80654 43.4625 27.8111 0.248092 0.0689258 0.0290906
0.0113284 0.876953 6.66624 13.6384 0.244907 0.0657212 0.036094
0.00605082 5.51568 148.27 45.8227 0.256113 0.0725397 0.0185376
0.0156857 4.05207 30.8022 26.051 0.251782 0.070955 0.0465345
0.0183959 10.0621 211.953 36.6476 0.253593 0.0717252 0.0554827
0.00542294 1.8278 13.8942 28.3945 0.225299 0.055137 0.0189992
0.00358444 1.31582 25.0366 29.3928 0.220373 0.052539 0.0129386
0.0148926 8.03746 61.0975 37.1713 0.264059 0.0786331 0.0421888
0.00653503 1.29805 15.7179 23.189 0.266196 0.0802524 0.0179826
0.0120644 11.0781 84.2113 45.6743 0.259242 0.0744396 0.0366024
0.0124041 1.01472 8.18027 14.2281 0.251266 0.0696682 0.0379462
0.0156197 3.51339 26.7074 24.2622 0.247899 0.0684822 0.0473045
0.00565666 3.36246 73.5879 37.8366 0.253651 0.0715856 0.017197
0.00276655 0.296217 2.25172 16.6597 0.247631 0.0679821 0.00845884
0.00269965 2.12392 55.0076 43.7337 0.248628 0.0686517 0.0083753
0.0214207 5.43472 41.3126 26.1424 0.266217 0.0804068 0.0588716
0.0148528 6.46525 118.976 33.9817 0.261424 0.0772747 0.0419646
0.00597714 2.08348 15.8378 29.7546 0.244828 0.0665586 0.0185756
0.0136204 5.93011 116.115 33.2363 0.239804 0.0637047 0.0433065
0.0195002 2.8629 21.7626 19.8284 0.264976 0.0792372 0.0541462
0.00519947 3.61136 85.1149 40.9657 0.26342 0.0777516 0.0151141
0.00995108 0.38959 2.96151 8.87558 0.225509 0.0540293 0.0371154
0.00164345 2.14438 70.9575 51.3678 0.247473 0.0663901 0.00549895
0.00242835 0.550567 4.18518 24.7767 0.265164 0.0795436 0.00672117
0.00429506 1.93109 35.6937 34.3523 0.266275 0.0801961 0.0119507
0.00905525 0.763532 5.80406 13.904 0.232375 0.0585012 0.0311431
0.0125727 11.1163 295.857 44.6582 0.247377 0.0671817 0.0403646
0.00491589 2.83426 21.5449 37.5928 0.263019 0.0775998 0.0142258
0.0197631 4.01512 50.6186 23.2453 0.255472 0.0732346 0.0574106
0.00146549 1.42405 10.825 40.3777 0.197108 0.0399373 0.00677371
0.0052239 0.402719 3.51433 10.5763 0.183002 0.0341484 0.0268904
0.0079106 2.34897 17.8559 28.2075 0.268433 0.0817747 0.0216176
0.0247201 9.98515 173.445 32.3987 0.268229 0.0814455 0.0683132
0.0127811 6.26853 47.6508 35.1209 0.253276 0.0717283 0.0382344
0.00125022 0.291711 4.13955 24.8722 0.242544 0.0654572 0.00386843
0.0160131 5.08813 38.6779 29.2225 0.256891 0.0744059 0.0459667
0.023508 8.84672 148.21 31.2975 0.264262 0.0789492 0.0659746
0.0048355 0.491927 3.73943 16.0441 0.251734 0.0701792 0.0146494
0.0090556 7.25233 181.144 43.3491 0.261371 0.0759593 0.0268988
0.0111277 8.6266 65.5759 42.7843 0.232571 0.05916 0.0376905
0.0017506 0.229084 2.48537 17.9639 0.230662 0.058104 0.0059127
0.00817944 3.469 26.3699 32.6259 0.23723 0.0620934 0.0264758
0.0153281 5.67002 100.216 30.5159 0.242161 0.0649444 0.0483672
0.00283246 3.27493 24.8947 49.403 0.251561 0.0689355 0.00916034
0.00188037 0.09597 0.646095 10.4535 0.229237 0.0562958 0.00675706
0.00394804 0.123011 0.935083 7.75582 0.222351 0.0522007 0.0151999
0.0171107 23.6067 798.932 52.4748 0.248743 0.06701 0.0571457
0.0145143 3.09406 23.5198 23.8418 0.266198 0.0802103 0.0400896
0.0138615 7.98367 169.803 37.7538 0.263165 0.0778122 0.0399276
0.0179623 18.7125 142.245 47.9845 0.251927 0.0696289 0.056948
0.00465417 0.272064 1.93261 11.494 0.234923 0.059688 0.0159295
0.021587 13.6295 103.606 39.7649 0.256886 0.0739794 0.0636328
0.00382792 0.63437 7.07068 21.2212 0.26137 0.0771291 0.0107505
0.00355512 0.270889 2.05919 13.2682 0.236808 0.0608385 0.0119723
0.0028865 2.90168 82.6332 46.5794 0.252402 0.0698073 0.00921031
0.00150207 0.257633 1.95842 20.8111 0.231349 0.0587196 0.00500318
0.0148339 8.25614 184.983 37.2762 0.234499 0.0606071 0.0486807
0.0185666 3.46962 26.3746 22.4571 0.257306 0.0745446 0.05315
0.016692 8.43862 167.82 36.3295 0.258653 0.0753842 0.0480373
0.0100119 12.9802 98.67 51.3129 0.249359 0.0673137 0.0331541
0.00985713 0.39084 2.3471 8.76885 0.222651 0.0524039 0.0377636
0.00472658 3.4163 25.9694 41.4103 0.263847 0.0777843 0.0138143
0.0203351 2.81246 28.7366 19.0294 0.259496 0.075428 0.0584466
0.00207686 0.157422 1.19666 13.2787 0.232555 0.0585841 0.00712231
0.00724537 7.49186 224.92 47.5453 0.241852 0.0638227 0.0241722
0.0194829 6.50867 49.4762 29.723 0.268506 0.0817818 0.0534158
0.00302877 1.14159 19.1522 31.3861 0.269049 0.0819921 0.00833687
0.00823815 3.48501 26.4916 33.1289 0.263793 0.0786166 0.023238
0.00293103 0.93677 14.409 28.9184 0.266845 0.0805876 0.00813514
0.0205565 17.0845 129.869 43.9171 0.261545 0.0760955 0.0611932
0.0187713 1.88643 16.6402 16 0.255534 0.0725605 0.0556138
0.0164098 12.1951 92.702 41.8288 0.264226 0.0780652 0.0479627
0.0219629 2.95114 29.2136 18.9474 0.263826 0.0784753 0.0613207
0.00961122 1.4328 10.8915 18.6724 0.226649 0.0556604 0.033717
0.00257053 2.07054 54.2494 42.2167 0.239279 0.0623911 0.00864874
0.0101228 6.18976 47.052 38.7309 0.266662 0.0800047 0.0288163
0.0231778 4.33087 50.2582 22.3638 0.267958 0.0813116 0.0634448
0.0195616 11.5409 87.7295 37.6969 0.256302 0.0732449 0.05869
0.0122725 2.76117 36.9501 24.3862 0.251594 0.0708365 0.036384
0.0103861 1.70621 12.9699 21.0393 0.264747 0.0791403 0.0288369
0.0176167 10.6579 232.464 39.054 0.262936 0.0777932 0.0504504
0.00402564 0.749959 5.70088 22.3505 0.264094 0.0786625 0.0112445
0.0180394 9.7381 197.528 37.1389 0.265712 0.0796195 0.0507878
0.00193606 0.674683 5.12867 30.2986 0.268554 0.0817205 0.00532516
0.00283721 0.978955 15.8614 30.3831 0.26529 0.0797234 0.00787041
0.0149042 13.5779 103.214 45.5967 0.259462 0.0746636 0.0450769
0.0145847 1.19934 9.64394 14.3403 0.252802 0.0706964 0.0440979
0.00402186 4.86358 36.971 50.0262 0.244145 0.064523 0.0135533
0.0062664 0.284939 1.84481 9.44583 0.221361 0.0518502 0.0240811
0.0164767 4.11592 31.2876 25.7158 0.269625 0.0824861 0.0449246
0.00501734 2.62113 52.4425 36.0607 0.268287 0.0812029 0.0140998
0.00586557 1.01166 7.69025 21.5218 0.24884 0.0692482 0.0175192
0.00164671 0.913026 19.9046 37.9787 0.246169 0.0677225 0.00503119
0.0134434 2.09619 15.9344 19.8473 0.237911 0.0623046 0.0433236
0.00132707 0.933058 23.6019 41.3164 0.236527 0.0615699 0.00436472
0.00814955 6.75836 51.3743 44.5847 0.24325 0.0653422 0.026068
0.00331387 0.313761 2.81852 15.3292 0.239967 0.0632034 0.0106824
0.00552663 8.30235 63.1111 54.531 0.235221 0.0592257 0.0197704
0.000943078 0.0236957 0.116286 6.46054 0.203205 0.0427154 0.00420038
0.00534141 0.65927 5.0115 17.5894 0.242569 0.0648173 0.0169259
0.00876741 6.25028 148.081 41.1567 0.253707 0.0714284 0.0267932
0.000851996 0.00954038 0.0725221 3.77393 0.176323 0.0314144 0.00469065
0.00209013 4.1301 173.63 56.7284 0.204956 0.0432207 0.00932903
0.0225224 17.4379 132.556 42.4771 0.260123 0.0753788 0.0672778
0.00264727 0.342541 3.38019 18.6024 0.259794 0.0758137 0.0075498
0.00165642 0.305944 2.32567 22.2328 0.256719 0.0739672 0.00478773
0.0022092 1.38093 30.5525 38.8545 0.262784 0.0773227 0.00643946
0.0121596 9.86247 74.9705 43.6752 0.243473 0.0652595 0.0391433
0.00173502 0.157378 1.41863 14.5755 0.231199 0.0580014 0.00596548
0.0165385 2.28936 17.4028 19.2166 0.263879 0.0784797 0.0462301
0.00259341 1.87128 45.0883 41.6553 0.261746 0.0766426 0.00761034
0.00979536 1.22876 9.34051 16.4163 0.217617 0.050564 0.0371092
0.00155869 1.5024 44.1335 44.8731 0.229715 0.0567139 0.00561967
0.00805229 0.476696 3.62365 11.4616 0.232719 0.0584267 0.0279997
0.00238605 2.53777 73.5644 48.0864 0.251877 0.0694037 0.00762074
0.0162257 12.0882 91.8896 42.9092 0.248938 0.0690012 0.0498775
0.00292365 0.332358 3.19875 17.2522 0.247514 0.0680876 0.00889731
0.0177904 9.0162 68.5375 36.1762 0.261906 0.0773041 0.0506931
0.0204834 3.90145 47.2473 22.5806 0.257887 0.0747854 0.0587009
0.0234472 6.24961 47.507 26.5683 0.268443 0.0817549 0.0642011
0.00304777 1.51224 29.5867 35.3212 0.266836 0.0803482 0.00858776
0.00184635 0.512309 3.89437 27.1676 0.26368 0.0785314 0.00517389
0.021045 10.1105 192.873 34.677 0.26654 0.0801052 0.0593921
0.00586781 5.93044 45.0808 47.7407 0.247573 0.06741 0.0188296
0.00986547 0.657232 4.91717 12.6037 0.239443 0.0625704 0.0323369
0.0146135 7.63643 58.049 37.006 0.250017 0.0701268 0.0436631
0.0190666 3.74202 46.1816 23.0234 0.255697 0.0736383 0.0548921
0.00434209 0.712763 5.41814 21.062 0.2649 0.0792978 0.0120385
0.00171533 1.07404 23.9294 39.5397 0.262233 0.077243 0.00495235
0.00172647 2.12156 16.1272 49.7496 0.245199 0.0649939 0.00584396
0.00784872 0.398865 2.70734 10.1447 0.223508 0.0530962 0.029506
0.00717781 0.590837 4.49131 14.1044 0.246261 0.0665004 0.0227114
0.0155541 14.1679 377.918 45.2773 0.257867 0.0733778 0.0476655
0.00907665 1.33491 10.1474 19.8342 0.256219 0.073686 0.0262438
0.0112999 7.81729 187.701 41.282 0.252552 0.071148 0.0342197
0.0020775 1.09858 8.35095 36.1909 0.261455 0.0767203 0.00603062
0.00414613 1.02586 14.3101 25.7091 0.256119 0.0737408 0.0120003
0.001108 0.181004 1.37592 20.2645 0.232656 0.0593621 0.00367638
0.0158712 8.89752 197.48 37.4691 0.237366 0.0622479 0.0513028
0.00613554 4.36495 33.1806 39.6954 0.230127 0.0572899 0.0215991
0.000883785 0.143625 1.82005 18.9032 0.216185 0.0500042 0.00334861
0.0109245 21.9522 166.872 58.6691 0.234625 0.0578542 0.041024
0.0053384 0.067448 0.234999 4.11643 0.185798 0.0350451 0.0274785
0.0154209 2.74629 20.8762 21.924 0.266112 0.0801213 0.0424765
0.011778 6.83867 145.989 38.368 0.263336 0.0780934 0.0336065
0.0146492 6.13637 46.6462 33.1654 0.265447 0.0796921 0.0408568
0.00307284 0.84307 11.9965 27.1408 0.2683 0.0816594 0.00840256
0.00162547 0.561575 4.26887 30.4601 0.246277 0.0679316 0.00490644
0.00935065 3.05171 48.8021 29.4648 0.254521 0.0729186 0.027221
0.00323171 3.15834 24.0084 45.8219 0.245625 0.065819 0.0106611
0.00744852 0.693388 6.29572 14.6382 0.231643 0.058091 0.0257013
0.00732329 5.89871 44.8396 43.5134 0.251813 0.0701708 0.0226789
0.0117258 1.11158 9.98534 15.1011 0.240143 0.0631068 0.0381468
0.00433041 0.268138 2.03828 12.227 0.246917 0.0668193 0.0136784
0.00699889 7.28547 212.943 47.7644 0.256872 0.0727172 0.0217544
0.0172456 5.86076 44.5511 30.0223 0.251872 0.0712002 0.0509083
0.0215626 8.56547 149.445 31.8782 0.258927 0.0753835 0.0624103
0.0224856 10.2381 77.826 34.5819 0.261973 0.0775081 0.0636153
0.00346312 0.804561 10.6022 25.1254 0.265214 0.0797243 0.00955501
0.00454428 2.08861 15.8768 34.2548 0.268509 0.0815374 0.0126396
0.00276076 0.77436 11.0972 27.3485 0.269393 0.0823952 0.00752629
0.00684385 2.49864 18.9937 30.697 0.268904 0.0818841 0.0189087
0.00214889 0.81694 13.7714 31.4159 0.268991 0.0820096 0.00592495
0.0047663 1.06341 8.08361 24.5723 0.261868 0.0774451 0.0133776
0.00457236 2.09948 39.1792 34.6287 0.26511 0.0794231 0.0128055
0.000698724 0.00662524 0.0503624 3.44732 0.176325 0.0313797 0.00385863
0.00552364 11.9664 504.488 58.8692 0.220746 0.0505295 0.0226944
0.00645516 5.53387 42.0662 44.0896 0.244648 0.0657232 0.0209562
0.00889863 1.10716 11.3683 17.6649 0.238649 0.0626295 0.0286838
0.0080949 3.06863 23.3265 29.2364 0.218174 0.0511462 0.0300436
0.00661737 3.42754 75.8456 34.1588 0.223331 0.053761 0.0239578
0.0128578 4.01497 30.5201 27.8156 0.227747 0.0567621 0.0437714
0.012455 4.35579 77.7934 29.6623 0.231964 0.059163 0.0412935
0.0194537 2.86749 21.7975 19.708 0.26054 0.0761603 0.0555204
0.00368177 2.35817 52.4902 39.8243 0.264129 0.0782393 0.0105839
0.00951114 6.88819 52.3613 41.5127 0.258179 0.0741512 0.0284765
0.0127772 1.554 15.4467 17.617 0.248183 0.0682543 0.0391087
0.0139453 9.72276 73.9085 40.3794 0.23116 0.058312 0.0477302
0.00419663 0.831684 11.1268 22.0963 0.230346 0.0579495 0.0141917
0.00232633 0.504277 3.83331 24.2854 0.265405 0.0797321 0.00642121
0.00624708 2.93746 55.3631 34.9697 0.267787 0.0810738 0.0173311
0.00759546 10.607 80.6304 53.2006 0.23634 0.0600775 0.0267911
0.00262411 0.0821598 0.445755 7.53696 0.210453 0.0463224 0.010938
0.0169065 2.03969 15.5049 17.8599 0.26303 0.077731 0.0476613
0.0233186 18.4693 465.409 42.7925 0.262712 0.0769336 0.0690705
0.00702783 4.91522 37.3635 41.1126 0.263997 0.0780922 0.0203766
0.0209906 2.9431 29.8864 19.4048 0.264803 0.079132 0.0582779
0.00496254 0.210292 1.59855 8.45006 0.203854 0.0430828 0.0218859
0.00812724 10.4745 343.475 50.0594 0.229002 0.0558203 0.0301477
0.0155931 7.28922 55.4097 34.2966 0.26865 0.0815612 0.0435214
0.00603898 1.73331 25.0762 27.5393 0.269895 0.082681 0.0164707
0.00281293 2.8418 21.6022 46.4252 0.248472 0.0673656 0.00918227
0.00313179 0.245118 2.0455 13.3694 0.232432 0.0584148 0.0108147
0.0161496 11.9125 90.5541 42.348 0.237696 0.0622564 0.0527198
0.00417537 0.472582 4.73428 16.7017 0.233653 0.0597365 0.0138879
0.0108864 1.18908 9.03889 16.5101 0.245309 0.0663316 0.0340968
0.0172025 14.6011 379.771 43.6569 0.256064 0.0724077 0.0531199
0.00386534 0.37099 2.82012 15.556 0.252871 0.0707693 0.0116779
0.0117002 9.60392 243.667 43.8974 0.260569 0.0754786 0.0348665
0.00384872 0.530542 4.03297 19.2609 0.263573 0.0783336 0.0107573
0.00749337 5.33642 127.724 41.5293 0.261724 0.0766904 0.0219239
0.0155933 4.88851 37.1605 28.7942 0.243452 0.0660916 0.0479359
0.00641894 2.45068 42.567 31.5313 0.253268 0.0719809 0.0189573
0.00980398 2.15471 16.3792 24.231 0.269782 0.0825786 0.0266549
0.0224321 12.6673 264.91 37.2941 0.267919 0.0809074 0.0633316
0.00277473 0.267714 2.03505 15.4893 0.247525 0.0674762 0.00864071
0.0127241 11.1818 295.068 44.3982 0.257881 0.0734769 0.0390058
0.00217141 0.841406 6.39603 27.2583 0.200403 0.0419741 0.00939589
0.00714728 2.79193 55.5245 27.3329 0.201709 0.0425348 0.0307234
0.0150916 12.6766 96.3623 44.3158 0.233733 0.0597238 0.0510253
0.00317436 0.323029 3.09642 15.5132 0.229075 0.0569444 0.0109804
0.0026032 0.715373 5.43797 27.235 0.267078 0.080853 0.00714766
0.00755687 2.98059 51.2266 32.3059 0.26806 0.0814255 0.0207912
0.00153535 0.124955 0.949854 14.1253 0.242991 0.0647562 0.00491057
0.018996 16.5782 434.869 45.029 0.255096 0.0720172 0.0582161
0.0172444 11.1021 84.3935 38.7847 0.242668 0.0647729 0.0558173
0.0110454 1.99571 25.6817 21.0312 0.229971 0.0577794 0.0374176
0.00137445 0.128347 0.975642 15.4674 0.253885 0.0715565 0.00410811
0.00244286 2.07295 53.8793 44.3535 0.260845 0.0755804 0.00730905
