#<qhat> <qhatL^2> <qhatL^3> <L> <T> <T^2> <ehat>
0.00790437 0.526143 3.99953 11.0392 0.210067 0.0462137 0.032878
0.00881832 0.465644 3.21558 9.89574 0.219288 0.0505746 0.0348697
0.0038879 0.142637 1.08427 6.8306 0.172929 0.0302246 0.0218123
0.00185122 0.318094 4.04442 15.203 0.188689 0.0360685 0.00942862
0.00994409 1.127 8.56702 14.1565 0.217557 0.049687 0.0402002
0.00192537 0.212667 2.18799 13.9144 0.211443 0.0467013 0.00807363
0.00198269 0.31323 2.38105 16.1566 0.212859 0.0470675 0.00840799
0.00495603 0.228888 1.53748 8.28294 0.190454 0.0371096 0.0243184
0.00121301 0.022622 0.171963 5.1368 0.189114 0.036444 0.00607446
0.00248652 0.20672 1.76629 12.2085 0.218044 0.0496862 0.0100438
0.00100547 0.232434 1.76687 19.1894 0.201623 0.0417666 0.00458451
0.000462092 0.00110777 0.00169982 1.64065 0.16371 0.0269024 0.00279439
0.00894627 0.783412 5.95518 12.7246 0.21785 0.0499651 0.0356316
0.0103205 1.00415 9.51282 13.4037 0.219393 0.0507166 0.0407982
0.00157142 0.0200259 0.152228 3.91615 0.172774 0.0300546 0.00891862
0.000452037 0.0320101 0.265876 9.74484 0.176869 0.0316683 0.00246085
0.000617787 0.00912152 0.0693381 4.55772 0.188844 0.0363066 0.00310511
0.000950492 0.133365 1.47322 16.1582 0.220768 0.0512015 0.00374303
0.00400613 1.60567 12.2057 24.2608 0.202124 0.0419997 0.0185203
0.00424044 0.0670167 0.262427 4.42727 0.178423 0.0321469 0.0231296
0.000478455 0.0221889 0.168671 8.18714 0.186652 0.0355302 0.00241947
0.00781786 1.56236 21.1304 17.5931 0.206781 0.0440945 0.0348109
0.00535229 0.178162 1.35432 7.64483 0.211154 0.0465114 0.0224374
0.00386646 0.20841 1.45028 10.1452 0.22017 0.051066 0.0151173
0.00535704 0.132522 1.00738 6.25459 0.202313 0.042206 0.0242325
0.00571043 0.581939 5.66043 13.8941 0.215511 0.0488706 0.0228867
0.00674442 1.2175 9.25497 17.245 0.206791 0.0443799 0.0294818
0.00670579 0.483175 3.9853 10.9848 0.209952 0.0458289 0.0286924
0.00280888 0.313367 2.38209 14.0401 0.215699 0.0487763 0.0114846
0.000848208 0.102766 1.10148 14.5402 0.213889 0.0478426 0.00351799
0.00802694 0.676137 5.13972 12.6909 0.223861 0.052855 0.0307995
0.00114852 0.0216851 0.092186 5.35266 0.197334 0.0399365 0.00540829
0.0100782 0.822394 6.2515 12.3583 0.21938 0.0507529 0.03967
0.00198873 0.175462 1.59466 12.8358 0.216501 0.0493128 0.0079692
0.00158009 0.541048 4.11283 22.2753 0.202073 0.0418434 0.00733937
0.00324296 0.0483066 0.183724 4.30108 0.175051 0.0309357 0.0180353
0.000757474 0.0391891 0.2979 9.06041 0.200535 0.041465 0.00346445
0.00209376 0.461302 6.6293 19.0855 0.212307 0.0469971 0.00888095
0.00472629 1.29009 9.80676 20.9637 0.200877 0.0415865 0.0215244
0.00100807 0.00619842 0.0151495 2.71227 0.171281 0.0295433 0.00577203
0.0047448 0.329268 2.50296 11.4301 0.217312 0.0497005 0.0188792
0.00407131 0.276461 2.18563 11.3037 0.218055 0.0500321 0.0161515
0.00153877 0.0797829 0.606477 9.78859 0.212609 0.0473585 0.00631847
0.00112642 0.0560781 0.377236 9.68622 0.22029 0.0510468 0.00442671
0.00436156 0.277755 2.11138 9.56808 0.182092 0.0337984 0.0226105
0.00191907 0.19549 1.89655 12.5315 0.203754 0.042646 0.00871697
0.00135507 0.00120244 0.00914044 0.949723 0.156148 0.0244201 0.00864472
0.00838522 4.15428 87.2955 25.9768 0.196143 0.0391471 0.0407348
0.00362505 0.427253 3.24781 14.6493 0.218083 0.0500752 0.0144966
0.00946962 0.912978 8.59113 13.3182 0.220865 0.0515067 0.0371536
0.00170603 0.734741 5.5852 24.5344 0.189514 0.0364824 0.00857886
0.000340301 0.000601992 0.000794544 1.38721 0.160206 0.0257281 0.00211083
0.00141864 0.229387 1.74371 16.1613 0.194227 0.0388362 0.00668587
0.000627824 0.0131423 0.0591271 5.39815 0.188205 0.0360362 0.00317487
0.00279788 0.59902 4.55351 18.8859 0.213381 0.0475309 0.0117728
0.00365363 0.19027 1.35466 9.03804 0.198835 0.0407151 0.016892
-nan 0 0 0 -nan -nan -nan
0.00480593 1.94917 35.3903 23.484 0.198809 0.0401034 0.0229614
0.00407403 0.245148 1.86351 8.73631 0.180185 0.0327582 0.0219828
0.00412882 0.0381047 0.114664 3.23159 0.166248 0.0277669 0.0245236
0.000965513 0.0185465 0.140983 4.96103 0.177837 0.031975 0.0052638
0.00713224 2.71321 51.2609 23.4206 0.20058 0.0412414 0.0334067
0.00177288 0.0480865 0.365534 6.10158 0.187981 0.0359374 0.00899533
0.00135043 0.436928 7.67766 22.4744 0.206348 0.0440805 0.00600714
0.0109486 1.39024 10.568 14.9745 0.218657 0.0502297 0.0440241
0.00850876 0.814545 7.77568 12.9689 0.211979 0.0469909 0.035478
0.0044177 0.0430273 0.327076 3.5287 0.180934 0.033134 0.0235854
0.00080055 0.122028 1.39365 16.605 0.21966 0.0504749 0.00320093
0.0015323 0.0164946 0.125385 3.67342 0.176352 0.0314014 0.00845174
0.00288308 0.21422 1.78774 10.7562 0.197123 0.0398607 0.0135259
0.000633947 0.139281 1.05876 17.1473 0.188474 0.0358983 0.00323601
-nan 0 0 0 -nan -nan -nan
0.00606693 0.536777 4.08036 11.8242 0.206413 0.0438772 0.0269714
0.00278658 0.077639 0.404123 6.12853 0.181567 0.0334581 0.0147028
0.000619976 0.000728941 0.00554112 1.10999 0.156948 0.0246704 0.00393425
0.00212846 0.529643 7.72388 18.6044 0.197791 0.0397372 0.010222
0.00591529 0.45527 3.46077 11.4897 0.213786 0.0476144 0.0246791
0.000906504 0.0741004 0.665259 11.5473 0.193496 0.0386041 0.00427265
0.00367147 0.0175327 0.133276 2.33594 0.168863 0.0286755 0.0214065
0.00522284 1.44987 22.4197 20.8925 0.210208 0.0455829 0.0227615
0.00457314 0.0741609 0.563741 4.71845 0.186973 0.0355555 0.0232781
