#<qhat> <qhatL^2> <qhatL^3> <L> <T> <T^2> <ehat>
0.0124968 3.46165 26.314 25.3321 0.231145 0.0580832 0.0429913
0.00128538 0.316974 4.55925 23.8014 0.243009 0.0645674 0.00419978
0.0135077 3.91568 29.7654 26.3223 0.250638 0.0693062 0.0418654
0.00178056 0.151783 1.31692 14.0283 0.2347 0.0596981 0.00606154
0.00365982 0.42875 3.25919 16.5006 0.243244 0.064608 0.0119093
0.00986566 3.92922 74.8121 30.7847 0.235179 0.0606059 0.032901
0.0125258 5.29052 40.2164 30.7915 0.247099 0.0670729 0.0403142
0.00704624 1.02029 11.34 18.4581 0.242083 0.0641382 0.0229079
0.00628561 1.0355 7.87144 19.9678 0.247245 0.0674063 0.0197203
0.0189517 6.96371 120.52 29.0883 0.251909 0.0701649 0.0590126
0.00587756 2.43923 18.542 30.8954 0.254923 0.0720436 0.0180673
0.00171824 0.218739 2.22052 17.6274 0.251618 0.0700095 0.00527285
0.00761083 2.82232 21.4541 29.3103 0.252444 0.0701577 0.0236693
0.00823985 0.554355 4.27305 12.2205 0.230909 0.0574609 0.0289075
0.00196912 0.269752 2.05054 18.2633 0.250959 0.0695736 0.00606927
0.00251896 0.990529 17.6762 30.1493 0.255086 0.0721332 0.00772924
0.00876205 0.328299 2.49559 8.3393 0.216699 0.0493232 0.0350754
0.0150564 7.79557 155.196 33.5291 0.245996 0.0658044 0.0494081
0.00103829 0.0539646 0.410217 10.5999 0.23277 0.0581388 0.00366133
0.0153378 6.45105 115.608 31.2641 0.251365 0.0695561 0.0478505
0.0126114 0.968044 7.35868 13.2222 0.237015 0.060922 0.0425333
0.0129965 3.95634 62.0511 27.3458 0.244584 0.066004 0.0410021
0.00868333 4.02811 30.62 32.2931 0.252498 0.0704006 0.0272164
0.00162276 0.180519 1.73649 16.3427 0.2466 0.066849 0.00513334
0.00382828 2.05828 15.6462 34.0612 0.249759 0.0682379 0.0123598
0.0122031 0.846501 6.65382 12.1992 0.229977 0.0567837 0.0434989
0.00114108 0.0447129 0.339889 7.81866 0.19776 0.0401941 0.00532492
0.0042867 4.36919 134.356 41.7543 0.212562 0.0470491 0.0180467
0.0154971 3.01428 22.9133 22.2045 0.254787 0.0724084 0.0460278
0.00250794 0.569818 7.60732 23.8542 0.257684 0.0741019 0.00739766
0.00610322 1.74946 13.2987 26.3642 0.245405 0.0665344 0.0192643
0.0022924 0.483435 6.29459 22.5044 0.252051 0.0702782 0.00705243
0.00163612 0.356947 2.71337 23.3111 0.258031 0.0741264 0.00483555
0.0119307 1.82772 20.5004 19.7974 0.24668 0.067474 0.0367082
0.0134162 7.42879 56.4706 34.6643 0.250145 0.0687484 0.043051
0.0150258 1.23716 10.2796 13.7058 0.241375 0.0634369 0.0495379
0.00277978 0.213256 1.62109 13.5314 0.243472 0.0648182 0.0089593
0.0150755 5.0282 80.2001 28.5796 0.254982 0.0722229 0.0453353
0.00160682 0.329723 2.50642 22.6053 0.257863 0.074068 0.00475083
0.00213379 0.414446 5.2559 22.3941 0.248204 0.0685126 0.00650184
0.0156347 9.55011 72.5961 35.8884 0.247733 0.0670585 0.0512852
0.0129402 0.857023 6.50872 11.9689 0.234507 0.059241 0.0449889
0.00210887 0.913961 6.94756 32.0198 0.243456 0.0650935 0.00679215
0.00138607 0.0764837 0.535782 10.8809 0.231919 0.0576695 0.00491812
0.0174979 3.88252 29.5134 23.4469 0.256026 0.0730841 0.0520723
0.0198001 4.65163 63.2638 24.094 0.256906 0.0736303 0.058734
0.00400383 0.349939 2.66009 13.6721 0.229116 0.056271 0.0143877
0.00108148 0.389991 7.18599 28.9295 0.224087 0.0543052 0.00386073
0.00228794 0.709693 5.3948 25.3423 0.208292 0.0459204 0.0092313
0.00259969 0.345221 3.82583 16.3476 0.219832 0.0512309 0.0100018
0.0125798 2.21594 16.8447 21.1794 0.257967 0.0742153 0.0368427
0.00970128 1.54183 17.171 20.2651 0.254707 0.072326 0.028682
0.000986271 0.0988572 0.751472 15.091 0.236325 0.0605321 0.00335025
0.00448669 2.28571 46.9418 33.2519 0.248539 0.0676696 0.0145292
0.0118133 8.21497 62.4469 37.8061 0.221441 0.05226 0.0446682
0.00660437 0.231992 1.33585 7.70381 0.206164 0.0441182 0.0287306
0.0137051 2.37595 18.061 21.0379 0.257091 0.0736965 0.0402486
0.0167921 2.56497 27.9692 19.8155 0.254324 0.0720594 0.0497867
0.00829287 5.06849 38.5286 35.9824 0.246802 0.0665816 0.0272848
0.0111 0.766277 5.92126 12.2708 0.237044 0.0606515 0.0380373
0.0178747 9.09187 69.1127 33.436 0.247537 0.0672569 0.0578027
0.00160472 0.165143 1.54875 15.4914 0.240936 0.0633396 0.00527426
0.0022885 2.12457 16.1501 42.0953 0.225904 0.0541777 0.00867509
0.00298456 0.0700496 0.332437 6.0419 0.199717 0.0410408 0.013763
0.00665179 2.3112 17.5688 29.3624 0.25063 0.0698061 0.0203034
0.00675753 0.617803 5.34069 14.868 0.248661 0.0679547 0.0211302
0.0109627 2.6001 19.7649 24.4807 0.241553 0.0645241 0.0346787
0.0107424 1.99611 24.0543 21.257 0.254431 0.0717394 0.0325162
0.000880651 0.0413203 0.3141 8.76343 0.198443 0.0406602 0.00403796
0.00514589 3.62048 87.7852 35.8577 0.227558 0.054668 0.0196327
0.0115747 1.61065 12.2435 18.8379 0.255199 0.0724326 0.0343435
0.00744924 1.3691 16.221 21.7789 0.256552 0.0734867 0.0218451
0.0195013 5.07928 38.6106 25.0564 0.257205 0.0737038 0.0582612
0.00154471 0.347762 4.68012 23.5373 0.255194 0.0724958 0.00463716
0.00107201 0.127614 0.970071 15.9574 0.2225 0.0529293 0.0039799
0.0159781 8.10135 167.594 32.4826 0.239359 0.0619894 0.0548932
0.0135415 1.91751 14.5761 18.579 0.253656 0.0713166 0.0410696
0.00805536 3.14593 55.9083 30.1117 0.255673 0.0725875 0.0245826
0.000981538 0.171885 1.3066 19.946 0.220361 0.0522429 0.00359886
0.00681856 1.40496 18.4848 21.5849 0.238031 0.0615239 0.0229608
0.017833 4.62941 35.1909 25.717 0.248543 0.0686881 0.0543805
0.00267835 0.298481 2.82005 16.6509 0.251737 0.0700487 0.00817078
0.00378212 1.14463 8.70099 27.118 0.256754 0.0734872 0.0113076
0.00216662 0.370466 4.33273 20.6162 0.255009 0.0723021 0.00649466
0.005551 1.34243 10.2046 24.232 0.255702 0.0727679 0.0166849
0.00172189 0.438929 6.29329 24.8934 0.254988 0.0723523 0.00519324
0.00343716 0.311245 2.36596 14.8051 0.24482 0.0656779 0.010952
0.00382497 1.01537 14.4513 25.7136 0.255301 0.0724505 0.0114367
0.0095514 0.61626 4.68456 12.138 0.238351 0.0615942 0.0320256
0.00483132 1.72878 28.4037 29.2764 0.256377 0.0727858 0.0145855
0.0108645 6.97466 53.0185 36.315 0.229158 0.0561416 0.0395286
0.00736198 0.19652 0.987439 6.515 0.200834 0.041598 0.0334849
0.00495266 3.54394 26.9396 38.0128 0.242208 0.0635439 0.016956
0.00263005 0.141057 0.983981 10.4242 0.225909 0.0542713 0.00979249
0.0145453 3.45662 26.2759 24.5458 0.257046 0.0737057 0.0427944
0.00284285 0.300517 2.76841 16.3016 0.24961 0.0688626 0.00872192
0.0129681 4.13995 31.4702 27.5338 0.256571 0.0732662 0.0390781
0.00476414 0.884172 10.745 21.3304 0.255298 0.0724629 0.0143137
0.00346271 1.73637 13.1992 33.0798 0.249806 0.0684558 0.0111261
0.00911958 0.912615 8.52886 15.0676 0.236507 0.0606742 0.0308813
0.0152104 8.89524 67.618 35.1178 0.248065 0.0671231 0.0498543
0.00763986 0.494481 3.78445 11.6508 0.227135 0.0551648 0.0278638
0.0029631 0.223601 1.69973 13.2341 0.243143 0.0643903 0.00967175
0.0106471 4.58431 86.1992 32.0526 0.247439 0.0676582 0.0334561
0.00696771 1.21105 9.20593 20.9094 0.238964 0.062894 0.0223939
0.00557117 0.891481 10.1082 19.8171 0.248442 0.0680964 0.0173116
0.00212475 0.332438 2.52706 19.6728 0.255007 0.0722644 0.00637974
0.00504942 1.76589 29.7676 28.8438 0.254475 0.0719814 0.0153668
0.0144074 8.83084 67.1285 36.3923 0.245447 0.0658433 0.0473779
0.00656919 0.353559 2.44851 10.6049 0.230685 0.0569085 0.0236106
0.0204931 5.98738 45.5137 26.3742 0.256643 0.0732679 0.0616633
0.0188378 3.73943 47.3857 22.0651 0.252062 0.0705088 0.0573491
0.00708468 3.16127 24.0307 31.9706 0.253208 0.0707861 0.0220116
0.00292094 0.245208 2.07823 14.041 0.240977 0.063326 0.00957947
0.013495 1.24483 9.46273 14.4744 0.237469 0.0612012 0.0454403
0.0187558 9.49839 192.86 33.1611 0.250433 0.0687992 0.0601208
